"","Bin","classification","phylum","class"
"1","12C16O_0h_100_P08_coass_bin.13","d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__UBA5704;g__UBA5704;s__","Acidobacteriota","Thermoanaerobaculia"
"102","12C16O_24h_100_P08_coass_bin.12","d__Bacteria;p__Chloroflexota;c__Ellin6529;o__CSP1-4;f__CSP1-4;g__SPCO01;s__","Chloroflexota","Ellin6529"
"106","12C16O_24h_100_P08_coass_bin.7","d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Ornithinibacter;s__","Actinobacteriota","Actinomycetia"
"107","12C16O_24h_100_P14_coass_bin.12","d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Anaeromyxobacteraceae;g__;s__","Myxococcota","Myxococcia"
"132","12C16O_24h_100_unf_bin.47","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__","Proteobacteria","Alphaproteobacteria"
"133","12C16O_24h_100_unf_bin.5","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium canariense","Proteobacteria","Alphaproteobacteria"
"138","12C16O_48h_100_P08_coass_bin.8","d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Ornithinibacter;s__","Actinobacteriota","Actinomycetia"
"145","12C16O_48h_100_P14_coass_bin.6","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomicrobium;s__","Proteobacteria","Alphaproteobacteria"
"150","12C16O_48h_100_unf_bin.25","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomicrobium;s__","Proteobacteria","Alphaproteobacteria"
"161","12C16O_48h_50_P09_coass_bin.4","d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__UBA4720;s__","Gemmatimonadota","Gemmatimonadetes"
"166","12C16O_48h_50_P10_coass_bin.25","d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__JACVRM01;s__","Actinobacteriota","Thermoleophilia"
"168","12C16O_48h_50_P10_coass_bin.29","d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Longimicrobiales;f__Longimicrobiaceae;g__;s__","Gemmatimonadota","Gemmatimonadetes"
"170","12C16O_48h_50_P10_coass_bin.36","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__","Proteobacteria","Alphaproteobacteria"
"172","12C16O_48h_50_P10_coass_bin.39","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomicrobium;s__","Proteobacteria","Alphaproteobacteria"
"193","12C16O_48h_50_unf_bin.40","d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Friedmanniella;s__","Actinobacteriota","Actinomycetia"
"194","12C16O_48h_50_unf_bin.41","d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__;g__;s__","Actinobacteriota","Thermoleophilia"
"196","12C16O_48h_50_unf_bin.44","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomicrobium;s__","Proteobacteria","Alphaproteobacteria"
"201","12C16O_72h_100_P08_coass_bin.2","d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Ornithinibacter;s__","Actinobacteriota","Actinomycetia"
"206","12C16O_72h_100_P14_coass_bin.22","d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__70-9;g__AC-57;s__","Actinobacteriota","Thermoleophilia"
"214","12C16O_72h_100_P16_coass_bin.33","d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Thermomicrobiales;f__UBA6265;g__;s__","Chloroflexota","Chloroflexia"
"220","12C16O_72h_100_unf_bin.11","d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;s__","Actinobacteriota","Actinomycetia"
"255","12C18O_168h_50_P09_coass_bin.21","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__","Proteobacteria","Alphaproteobacteria"
"260","12C18O_168h_50_P10_coass_bin.12","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__Udaeobacter;s__","Verrucomicrobiota","Verrucomicrobiae"
"263","12C18O_168h_50_P10_coass_bin.6","d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__JACDCH01;g__VFJN01;s__","Actinobacteriota","Acidimicrobiia"
