Bin,classification
12C16O_168h_100_P08_coass_bin.11,d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__;s__
12C16O_168h_100_P08_coass_bin.16,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__TH5893;s__
12C16O_168h_100_P08_coass_bin.27,d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__AC-32;s__
12C16O_168h_100_P08_coass_bin.31,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Longimicrobiales;f__Longimicrobiaceae;g__;s__
12C16O_168h_100_P08_coass_bin.5,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__;s__
12C16O_168h_100_P08_coass_bin.7,d__Bacteria;p__Chloroflexota;c__Ellin6529;o__CSP1-4;f__CSP1-4;g__SPCO01;s__
12C16O_168h_100_P14_coass_bin.2,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__TH5893;s__
12C16O_168h_100_P14_coass_bin.3,d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__AC-32;s__
12C16O_168h_100_P14_coass_bin.32,d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__3-1-20CM-4-69-9;s__
12C16O_168h_100_P14_coass_bin.4,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrososphaera;s__
12C16O_168h_100_P14_coass_bin.5,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__UBA4720;s__
12C16O_168h_100_P14_coass_bin.7,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__;f__;g__;s__
12C16O_168h_100_P14_coass_bin.8,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Microvirga;s__
12C16O_168h_100_P16_coass_bin.10,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Microvirga;s__
12C16O_168h_100_P16_coass_bin.12,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__TH5893;s__
12C16O_168h_100_P16_coass_bin.18,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Microvirga;s__
12C16O_168h_100_P16_coass_bin.27,d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__40CM-4-68-19;g__40CM-4-68-19;s__
