"","taxonID","comparisonID","trt.code.1","trt.code.2","wad1.obs.mean","wad2.obs.mean","wad1.boot.mean","wad1.boot.median","wad1.boot.CI.L","wad1.boot.CI.U","wad2.boot.mean","wad2.boot.median","wad2.boot.CI.L","wad2.boot.CI.U","wad.diff.obs","wad.diff.boot.mean","wad.diff.boot.median","wad.diff.boot.CI.L","wad.diff.boot.CI.U","wad.diff.p.value","ape.obs","ape.boot.mean","ape.boot.median","ape.boot.CI.L","ape.boot.CI.U","r.obs","r.boot.mean","r.boot.median","r.boot.CI.L","r.boot.CI.U","f.obs","f.boot.mean","f.boot.median","f.boot.CI.L","f.boot.CI.U","N1.obs.mean","N2.obs.mean","N1.boot.mean","N1.boot.median","N1.boot.CI.L","N1.boot.CI.U","N2.boot.mean","N2.boot.median","N2.boot.CI.L","N2.boot.CI.U","N.obs.mean","N.boot.mean","N.boot.median","N.boot.CI.L","N.boot.CI.U","message","X","AFE_24h","AFE_48h","AFE_72h","AFE_168h","taxonomy","bin"
"1","sip101",5,"t168_16O_t24_16O_t48_16O_t72_16O","t168_18O",1.72683397343467,1.73182635910119,1.72684969585286,1.72682750902946,1.72608936946425,1.72768977888513,1.73186618051171,1.73182635910119,1.72741413060958,1.73449179062442,0.00499238566651927,0.00501648465884886,0.00505487019076234,0.000918972570826282,0.0078916133671052,0.008,0.0736212666479514,0.0739773145363275,0.0745454053938728,0.013554482062401,0.116391612867937,19.2612044227027,19.1763994372022,19.3989022821512,3.69681279385256,30.5251377198766,0.321020073711712,0.319606657286704,0.323315038035854,0.0616135465642094,0.508752295331277,1141.41466709384,917.487265356243,1144.57756950621,1138.8852037838,950.350297375098,1363.05173056597,914.585939579576,917.487265356243,702.22955305329,1295.7644118014,1096.62918674632,1098.57924352088,1094.79001576166,930.628087816159,1273.12193013521,"none",3,0.0148689890658549,0.0134151899365389,-0.0697905710301035,0.0736212666479514,"d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__JACDDX01;s__","H2-16-all-fractions_metab_114.Bacteria_70_8"
"2","sip104",3,"t168_16O_t24_16O_t48_16O_t72_16O","t48_18O",1.7126425962329,1.71585058875438,1.71266324310179,1.71265957802024,1.71139772165301,1.71394887915462,1.71579823501059,1.71585058875438,1.71443767258862,1.71710450389958,0.00320799252147275,0.00313499190880838,0.00310622670344096,0.00131700045318553,0.00496011937372638,0.026,0.0476862905872773,0.0466042833545563,0.0461778778288826,0.0195715356936394,0.0737691177160245,24.5386709453521,23.2905699543714,23.4336877519546,12.4053282607631,33.445104129407,0.408977849089201,0.38817616590619,0.390561462532576,0.206755471012718,0.557418402156783,551.531787940675,875.209154362518,555.807700054986,548.949978972531,323.819882205096,817.032635830408,888.428781781555,875.209154362518,641.569559458513,1303.70385124169,616.267261225044,622.3319164003,618.148172359332,410.980128476578,843.515301161583,"Warning: no occurrences in rep rB_t168_16O (t24_16O/t72_16O/t168_16O/t48_16O)",5,-0.0180562331869978,0.0476862905872773,-0.0797330745287293,-0.0635917309033112,"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidiferrobacterales;f__Sulfurifustaceae;g__;s__","12C16O_0h_50_P10_coass_bin.20"
"3","sip106",2,"t168_16O_t24_16O_t48_16O_t72_16O","t24_18O",1.72162513315288,1.72517426897967,1.72162987685238,1.72162138083542,1.72087163027498,1.72244727572826,1.72509583501989,1.72517426897967,1.72173276024572,1.72936851050473,0.00354913582679095,0.00346595816751126,0.00336114098299201,0.00019098925849741,0.00730635080707575,0.018,0.0524911593212383,0.051262175032079,0.0497182579281115,0.00282480280667917,0.108032353222511,328.616621957281,319.975180020814,309.674362610538,20.8733922780115,652.458289643747,5.47694369928802,5.33291966701356,5.1612393768423,0.347889871300191,10.8743048273958,3950.76240052335,2940.63516601864,3969.16805569761,3952.10425101802,3205.46300442241,4809.09475195597,2939.75614964994,2940.63516601864,2774.97189664021,3240.00486949802,3748.73695362241,3763.28567448808,3753.33192822988,3150.41929255934,4430.81247745383,"none",6,0.0524911593212383,0.128068465522892,0.0866114087288369,0.130915777419316,"d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__JABFXA01;s__","12C16O_0h_50_P09_coass_bin.13"
"4","sip106",5,"t168_16O_t24_16O_t48_16O_t72_16O","t168_18O",1.72162513315288,1.73047686898686,1.72162987685238,1.72162138083542,1.72087163027498,1.72244727572826,1.73055936038535,1.73047686898686,1.72908147479297,1.7331275254163,0.00885173583398235,0.00892948353297111,0.00887708299738887,0.00697932875927877,0.0115745294054341,0.002,0.130915777419316,0.132066595392692,0.131292591433156,0.103186392866476,0.171192638398916,113.809834450738,115.082771404632,113.918203990655,85.553705929985,151.914220012849,1.89683057417896,1.91804619007719,1.89863673317758,1.42589509883308,2.53190366688081,3950.76240052335,2416.49224883432,3969.16805569761,3952.10425101802,3205.46300442241,4809.09475195597,2418.07419468783,2416.49224883432,1918.03005338705,3143.5576887158,3643.90837018555,3658.94928349566,3645.54755164192,3029.66812160944,4358.7386042308,"none",6,0.0524911593212383,0.128068465522892,0.0866114087288369,0.130915777419316,"d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__JABFXA01;s__","12C16O_0h_50_P09_coass_bin.13"
"5","sip106",4,"t168_16O_t24_16O_t48_16O_t72_16O","t72_18O",1.72162513315288,1.72748127460038,1.72162987685238,1.72162138083542,1.72087163027498,1.72244727572826,1.72744399446211,1.72748127460038,1.7258573389133,1.72946737563464,0.00585614144749846,0.00581411760972228,0.0057696710245595,0.00408093039719507,0.00775229919501206,0.003,0.0866114087288369,0.0859910161550495,0.0853178172405272,0.0603366438589782,0.114700132485105,197.403682607542,195.787163762149,193.624954757992,142.320410812848,259.234260701363,3.29006137679237,3.26311939603582,3.22708257929987,2.3720068468808,4.32057101168938,3950.76240052335,4668.60813242176,3969.16805569761,3952.10425101802,3205.46300442241,4809.09475195597,4658.10132268057,4668.60813242176,3977.40511191228,5800.21560115505,4094.33154690303,4106.9547090942,4082.18267632288,3463.68301200258,4809.19490279743,"none",6,0.0524911593212383,0.128068465522892,0.0866114087288369,0.130915777419316,"d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__JABFXA01;s__","12C16O_0h_50_P09_coass_bin.13"
"6","sip106",3,"t168_16O_t24_16O_t48_16O_t72_16O","t48_18O",1.72162513315288,1.7302843509173,1.72162987685238,1.72162138083542,1.72087163027498,1.72244727572826,1.73020677720798,1.7302843509173,1.72802704389308,1.73371111419932,0.00865921776441936,0.00857690035560011,0.00853345165531194,0.00620161735737591,0.0116489545016686,0.002,0.128068465522892,0.126852033604796,0.126212477465632,0.0916909632955696,0.172242477768962,419.470706353719,415.578971048479,411.196953361067,304.833509299373,557.808856450521,6.99117843922865,6.92631618414132,6.85328255601778,5.08055848832288,9.29681427417535,3950.76240052335,3809.81528414929,3969.16805569761,3952.10425101802,3205.46300442241,4809.09475195597,3816.62718392322,3809.81528414929,3179.84674761999,4530.92009121211,3922.57297724854,3938.65988134273,3931.78932030894,3300.95058064095,4642.56386159456,"none",6,0.0524911593212383,0.128068465522892,0.0866114087288369,0.130915777419316,"d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__JABFXA01;s__","12C16O_0h_50_P09_coass_bin.13"
"7","sip107",3,"t168_16O_t24_16O_t48_16O_t72_16O","t48_18O",1.71081488667945,1.75464972229846,1.71083331451705,1.71081488667945,1.70841368839076,1.71332021805661,1.75452478922017,1.75464972229846,1.74850867767742,1.7625,0.043834835619009,0.0436914747031164,0.0433903562700113,0.0372663454928011,0.0512172996261032,0.00210084033613445,0.652270884593144,0.650145554836118,0.646013321063449,0.553920970405851,0.761915043935716,72.905611040121,72.4542739796028,70.9530248894486,32.7808988100439,120.8847602418,1.21509351733535,1.20757123299338,1.18255041482414,0.546348313500731,2.01474600403,134.09685108022,132.902949822267,134.765257376719,130.727349071922,43.3800561144523,251.284453193556,133.203713526646,132.902949822267,29.278929447642,190.336246151684,133.858070828629,134.452948606704,131.214633684553,60.660638002854,227.673638335183,"Warning: no occurrences in rep rA_t24_16O & rB_t168_16O & rB_t24_16O & rB_t48_16O & rB_t72_16O & rC_t24_16O (t168_16O/t24_16O/t48_16O/t72_16O)",7,0,0.652270884593144,0.670291321241922,0.643022648615081,"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomicrobium;s__","12C16O_48h_50_P10_coass_bin.39"
"8","sip107",4,"t168_16O_t24_16O_t48_16O_t72_16O","t72_18O",1.71081488667945,1.75586075731005,1.71083331451705,1.71081488667945,1.70841368839076,1.71332021805661,1.75593543076259,1.75586075731005,1.74975140322398,1.7625,0.0450458706305974,0.0451021162455354,0.0450458706305974,0.0390684614978722,0.051526833485331,0.00104602510460251,0.670291321241922,0.671136319183726,0.670291321241922,0.581391149332509,0.76773066763333,53.7104264697069,53.7387721997969,52.9229630440475,26.6030203271523,86.1823649637067,0.895173774495114,0.895646203329949,0.882049384067459,0.443383672119205,1.43637274939511,134.09685108022,183.33971729655,134.765257376719,130.727349071922,43.3800561144523,251.284453193556,184.501262700988,183.33971729655,62.4636041867672,258.187209339953,143.945424323486,144.712458441573,142.011264251471,71.1378456709127,239.57438173858,"Warning: no occurrences in rep rA_t24_16O & rB_t168_16O & rB_t24_16O & rB_t48_16O & rB_t72_16O & rC_t24_16O (t168_16O/t24_16O/t48_16O/t72_16O)",7,0,0.652270884593144,0.670291321241922,0.643022648615081,"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomicrobium;s__","12C16O_48h_50_P10_coass_bin.39"
"9","sip107",5,"t168_16O_t24_16O_t48_16O_t72_16O","t168_18O",1.71081488667945,1.7540282091918,1.71083331451705,1.71081488667945,1.70841368839076,1.71332021805661,1.75395912890557,1.7540282091918,1.74910124485172,1.7625,0.0432133225123541,0.0431258143885206,0.0428649892811557,0.0368507594865292,0.0509243702523491,0.00107642626480086,0.643022648615081,0.64172869631412,0.637650981123413,0.547618361637119,0.758952470217493,22.884519010901,22.8052469858891,22.5073695786002,11.6459960085638,36.2593159498575,0.381408650181684,0.380087449764818,0.375122826310004,0.194099933476064,0.604321932497625,134.09685108022,209.486079923914,134.765257376719,130.727349071922,43.3800561144523,251.284453193556,212.333977522653,209.486079923914,74.8517867309011,333.046143747336,149.174696848959,150.279001405906,148.049741842821,74.0388315977756,245.370440876777,"Warning: no occurrences in rep rA_t24_16O & rB_t168_16O & rB_t24_16O & rB_t48_16O & rB_t72_16O & rC_t24_16O (t168_16O/t24_16O/t48_16O/t72_16O)",7,0,0.652270884593144,0.670291321241922,0.643022648615081,"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomicrobium;s__","12C16O_48h_50_P10_coass_bin.39"
"10","sip108",3,"t168_16O_t24_16O_t48_16O_t72_16O","t48_18O",1.72207049373714,1.72501007955859,1.72208793631695,1.72208701056207,1.72139319439895,1.7228336115082,1.72499864052471,1.72501007955859,1.7244103336024,1.72568334297631,0.00293958582145626,0.00291070420776161,0.00292378686720962,0.00198862616908399,0.00378476144007467,0.007,0.0434651402450007,0.0430387360258356,0.0432311380080864,0.0293909084570544,0.0559816149692385,125.06583389217,124.059280866263,123.277455390433,85.141756869404,164.176506472852,2.0844305648695,2.06765468110439,2.05462425650722,1.41902928115673,2.73627510788086,3423.38189117297,3536.23144155199,3436.4381191788,3421.5324185393,2729.70515059219,4151.39220996079,3564.05637670661,3536.23144155199,3023.72210804608,4445.82374159187,3445.95180124878,3461.96177068436,3457.16941192818,2882.39000568744,4051.78218612077,"none",8,0.0171189373814844,0.0434651402450007,-0.0190311145957495,0.0760039193935912,"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Thermoleophilaceae;g__;s__","H3-16-all-fractions_metab_conc_83.Actinobacteria_70_0"
"11","sip108",5,"t168_16O_t24_16O_t48_16O_t72_16O","t168_18O",1.72207049373714,1.72721070592937,1.72208793631695,1.72208701056207,1.72139319439895,1.7228336115082,1.72727942198825,1.72721070592937,1.72530049611065,1.72890946146962,0.00514021219223415,0.00519148567130469,0.00521499966407846,0.00327264918769672,0.00692181741998404,0.003,0.0760039193935912,0.0767623675984897,0.0771203236688918,0.0483910617220901,0.102351915669486,57.4074778764593,58.1760361611832,57.8358978087333,36.1476175605164,80.6656893567308,0.956791297940988,0.969600602686387,0.963931630145554,0.602460292675274,1.34442815594551,3423.38189117297,2136.51664906439,3436.4381191788,3421.5324185393,2729.70515059219,4151.39220996079,2141.40792549768,2136.51664906439,1959.09443456971,2233.01903367504,3166.00884275126,3177.43208044258,3169.45099965531,2600.3555284119,3748.32902222619,"none",8,0.0171189373814844,0.0434651402450007,-0.0190311145957495,0.0760039193935912,"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Thermoleophilaceae;g__;s__","H3-16-all-fractions_metab_conc_83.Actinobacteria_70_0"
